Kraj,Sprzedawca,Data_zamowienia,idZamowienia,Utarg
Niemcy,Davolio,10.03.2005,10909,670.00
Niemcy,Davolio,04.03.2005,10910,452.90
Niemcy,Leverling,05.03.2005,10911,858.00
Niemcy,Fuller,18.03.2005,10912,6200.55
Niemcy,Peacock,04.03.2005,10913,768.75
Polska,Sowiński,02.03.2005,10914,537.50
Niemcy,Fuller,02.03.2005,10915,539.50
Niemcy,Davolio,09.03.2005,10916,686.70
Niemcy,Peacock,11.03.2005,10917,365.89
Niemcy,Leverling,11.03.2005,10918,1447.50
Niemcy,Fuller,04.03.2005,10919,1122.80
Niemcy,Peacock,09.03.2005,10920,390.00
Niemcy,Davolio,09.03.2005,10921,1936.00
Polska,Kowalski,05.03.2005,10922,742.50
Polska,King,13.03.2005,10923,748.80
Niemcy,Leverling,08.04.2005,10924,1835.70
Niemcy,Leverling,13.03.2005,10925,475.15
Niemcy,Peacock,11.03.2005,10926,514.40
Niemcy,Peacock,08.04.2005,10927,800.00
Niemcy,Davolio,18.03.2005,10928,137.50
Polska,Sowiński,12.03.2005,10929,1174.75
Niemcy,Peacock,18.03.2005,10930,2255.50
Niemcy,Peacock,19.03.2005,10931,799.20
Niemcy,Callahan,24.03.2005,10932,1788.63
Polska,Sowiński,16.03.2005,10933,920.60
Niemcy,Leverling,12.03.2005,10934,500.00
Niemcy,Peacock,18.03.2005,10935,619.50
Niemcy,Leverling,18.03.2005,10936,456.00
Polska,King,13.03.2005,10937,644.80
Niemcy,Leverling,16.03.2005,10938,2731.87
Niemcy,Fuller,13.03.2005,10939,637.50
Niemcy,Callahan,23.03.2005,10940,360.00
Polska,King,20.03.2005,10941,4011.75
Polska,Dudek,18.03.2005,10942,560.00
Niemcy,Peacock,19.03.2005,10943,711.00
Polska,Sowiński,13.03.2005,10944,1025.33
Niemcy,Peacock,18.03.2005,10945,245.00
Niemcy,Davolio,19.03.2005,10946,1407.50
Niemcy,Leverling,16.03.2005,10947,220.00
Niemcy,Leverling,19.03.2005,10948,2362.25
Niemcy,Fuller,17.03.2005,10949,4422.00
Niemcy,Davolio,23.03.2005,10950,110.00
Polska,Dudek,07.04.2005,10951,458.74
Niemcy,Davolio,24.03.2005,10952,471.20
Polska,Dudek,25.03.2005,10953,4441.25
Polska,Kowalski,20.03.2005,10954,1659.53
Niemcy,Callahan,20.03.2005,10955,74.40
Polska,Sowiński,20.03.2005,10956,677.00
Niemcy,Callahan,27.03.2005,10957,1762.70
Polska,King,27.03.2005,10958,781.00
Polska,Sowiński,23.03.2005,10959,131.75
Niemcy,Leverling,08.04.2005,10960,265.35
Niemcy,Callahan,30.03.2005,10961,1119.90
Niemcy,Callahan,23.03.2005,10962,3584.00
Polska,Dudek,26.03.2005,10963,57.80
Niemcy,Leverling,24.03.2005,10964,2052.50
Polska,Sowiński,30.03.2005,10965,848.00
Niemcy,Peacock,08.04.2005,10966,1098.46
Niemcy,Fuller,02.04.2005,10967,910.40
Niemcy,Davolio,01.04.2005,10968,1408.00
Niemcy,Davolio,30.03.2005,10969,108.00
Polska,Dudek,24.04.2005,10970,224.00
Niemcy,Fuller,02.04.2005,10971,1733.06
Niemcy,Peacock,26.03.2005,10972,251.50
Polska,Sowiński,27.03.2005,10973,291.55
Niemcy,Leverling,03.04.2005,10974,439.00
Niemcy,Davolio,27.03.2005,10975,717.50
Niemcy,Davolio,03.04.2005,10976,912.00
Niemcy,Callahan,10.04.2005,10977,2233.00
Polska,Dudek,23.04.2005,10978,1303.19
Niemcy,Callahan,31.03.2005,10979,4813.50
Niemcy,Peacock,17.04.2005,10980,248.00
Niemcy,Davolio,02.04.2005,10981,15810.00
Niemcy,Fuller,08.04.2005,10982,1014.00
Niemcy,Fuller,06.04.2005,10983,720.90
Niemcy,Davolio,03.04.2005,10984,1809.75
Niemcy,Fuller,02.04.2005,10985,2023.38
Niemcy,Callahan,21.04.2005,10986,2220.00
Niemcy,Callahan,06.04.2005,10987,2772.00
Niemcy,Leverling,10.04.2005,10988,3574.80
Niemcy,Fuller,02.04.2005,10989,1353.60
Niemcy,Fuller,07.04.2005,10990,4288.85
Niemcy,Davolio,07.04.2005,10991,2296.00
Niemcy,Davolio,03.04.2005,10992,69.60
Polska,King,10.04.2005,10993,4895.44
Niemcy,Fuller,09.04.2005,10994,940.50
Niemcy,Davolio,06.04.2005,10995,1196.00
Niemcy,Peacock,10.04.2005,10996,560.00
Niemcy,Callahan,13.04.2005,10997,1885.00
Niemcy,Callahan,17.04.2005,10998,686.00
Polska,Sowiński,10.04.2005,10999,1197.95
Niemcy,Fuller,14.04.2005,11000,903.75
Niemcy,Fuller,14.04.2005,11001,2769.00
Niemcy,Peacock,16.04.2005,11002,1811.10
Niemcy,Leverling,08.04.2005,11003,326.00
Niemcy,Leverling,20.04.2005,11004,295.38
Niemcy,Fuller,10.04.2005,11005,586.00
Niemcy,Leverling,15.04.2005,11006,329.69
Niemcy,Callahan,13.04.2005,11007,2633.90
Niemcy,Fuller,10.04.2005,11009,616.50
Niemcy,Fuller,21.04.2005,11010,645.00
Niemcy,Leverling,13.04.2005,11011,933.50
Niemcy,Davolio,17.04.2005,11012,2825.30
Niemcy,Fuller,10.04.2005,11013,361.00
Niemcy,Fuller,15.04.2005,11014,243.18
Niemcy,Fuller,20.04.2005,11015,622.35
Polska,Dudek,13.04.2005,11016,491.50
Polska,Dudek,20.04.2005,11017,6750.00
Niemcy,Peacock,16.04.2005,11018,1575.00
Niemcy,Fuller,16.04.2005,11020,632.40
Niemcy,Leverling,21.04.2005,11021,6306.24
Niemcy,Davolio,24.04.2005,11023,1500.00
Niemcy,Peacock,20.04.2005,11024,1966.81
Polska,Sowiński,24.04.2005,11025,270.00
Niemcy,Peacock,28.04.2005,11026,1030.00
Niemcy,Davolio,20.04.2005,11027,877.72
Niemcy,Fuller,22.04.2005,11028,2160.00
Niemcy,Peacock,27.04.2005,11029,1286.80
Polska,King,27.04.2005,11030,12615.05
Polska,Sowiński,24.04.2005,11031,2393.50
Niemcy,Fuller,23.04.2005,11032,8902.50
Polska,King,23.04.2005,11033,3232.80
Niemcy,Callahan,27.04.2005,11034,539.40
Niemcy,Fuller,24.04.2005,11035,1754.50
Niemcy,Callahan,22.04.2005,11036,1692.00
Polska,King,27.04.2005,11037,60.00
Niemcy,Davolio,30.04.2005,11038,732.60
Niemcy,Leverling,28.04.2005,11041,1773.00
Niemcy,Fuller,01.05.2005,11042,405.75
Polska,Kowalski,29.04.2005,11043,210.00
Niemcy,Peacock,01.05.2005,11044,591.60
Niemcy,Callahan,24.04.2005,11046,1485.80
Polska,King,01.05.2005,11047,817.87
Polska,King,30.04.2005,11048,525.00
Niemcy,Leverling,01.05.2005,11052,1332.00
Niemcy,Fuller,29.04.2005,11053,3055.00
Niemcy,Callahan,01.05.2005,11056,3740.00
Niemcy,Leverling,01.05.2005,11057,45.00
